Datum;Deaths 2020;Mean Deaths 2015-2019
2020-01-01;254;291
2020-01-02;300;290
2020-01-03;256;290
2020-01-04;272;278
2020-01-05;265;280
2020-01-06;285;271
2020-01-07;246;289
2020-01-08;292;283
2020-01-09;277;270
2020-01-10;253;277
2020-01-11;263;283
2020-01-12;274;284
2020-01-13;241;275
2020-01-14;267;271
2020-01-15;254;291
2020-01-16;254;284
2020-01-17;244;278
2020-01-18;302;273
2020-01-19;265;276
2020-01-20;230;280
2020-01-21;241;273
2020-01-22;265;278
2020-01-23;236;270
2020-01-24;251;273
2020-01-25;253;290
2020-01-26;253;269
2020-01-27;260;268
2020-01-28;276;265
2020-01-29;274;279
2020-01-30;269;267
2020-01-31;247;265
2020-02-01;276;276
2020-02-02;245;268
2020-02-03;241;281
2020-02-04;242;272
2020-02-05;241;266
2020-02-06;258;264
2020-02-07;242;276
2020-02-08;244;270
2020-02-09;258;274
2020-02-10;273;277
2020-02-11;255;272
2020-02-12;274;282
2020-02-13;246;277
2020-02-14;266;268
2020-02-15;258;268
2020-02-16;253;279
2020-02-17;268;277
2020-02-18;258;272
2020-02-19;264;289
2020-02-20;256;292
2020-02-21;226;291
2020-02-22;260;284
2020-02-23;242;289
2020-02-24;264;279
2020-02-25;262;288
2020-02-26;258;286
2020-02-27;255;271
2020-02-28;232;276
2020-02-29;244;243
2020-03-01;263;284
2020-03-02;238;277
2020-03-03;261;291
2020-03-04;289;289
2020-03-05;281;278
2020-03-06;250;289
2020-03-07;266;273
2020-03-08;240;265
2020-03-09;248;276
2020-03-10;257;271
2020-03-11;234;263
2020-03-12;257;268
2020-03-13;243;271
2020-03-14;246;265
2020-03-15;244;273
2020-03-16;293;268
2020-03-17;265;273
2020-03-18;256;258
2020-03-19;235;260
2020-03-20;279;267
2020-03-21;264;259
2020-03-22;270;259
2020-03-23;298;256
2020-03-24;281;254
2020-03-25;294;238
2020-03-26;303;265
2020-03-27;292;264
2020-03-28;268;259
2020-03-29;301;258
2020-03-30;338;266
2020-03-31;308;259
2020-04-01;327;259
2020-04-02;369;266
2020-04-03;363;261
2020-04-04;313;263
2020-04-05;362;251
2020-04-06;369;253
2020-04-07;343;270
2020-04-08;392;247
2020-04-09;364;242
2020-04-10;376;247
2020-04-11;365;237
2020-04-12;356;253
2020-04-13;353;257
2020-04-14;353;253
2020-04-15;398;243
2020-04-16;398;254
2020-04-17;356;262
2020-04-18;337;243
2020-04-19;327;241
2020-04-20;309;252
2020-04-21;330;253
2020-04-22;333;251
2020-04-23;324;246
2020-04-24;312;251
2020-04-25;331;249
2020-04-26;325;246
2020-04-27;299;240
2020-04-28;335;236
2020-04-29;322;239
2020-04-30;319;229
2020-05-01;362;240
2020-05-02;294;237
2020-05-03;306;237
2020-05-04;328;248
2020-05-05;308;230
2020-05-06;325;229
2020-05-07;328;232
2020-05-08;294;229
2020-05-09;284;234
2020-05-10;310;237
2020-05-11;319;234
2020-05-12;289;233
2020-05-13;284;234
2020-05-14;275;224
2020-05-15;276;228
2020-05-16;264;235
2020-05-17;278;222
2020-05-18;302;229
2020-05-19;258;221
2020-05-20;278;220
2020-05-21;249;214
2020-05-22;292;218
2020-05-23;270;217
2020-05-24;269;238
2020-05-25;240;216
2020-05-26;226;219
2020-05-27;244;216
2020-05-28;216;237
2020-05-29;228;222
2020-05-30;242;227
2020-05-31;256;218
2020-06-01;263;226
2020-06-02;268;213
2020-06-03;250;242
2020-06-04;225;223
2020-06-05;267;228
2020-06-06;233;205
2020-06-07;233;212
2020-06-08;232;224
2020-06-09;257;222
2020-06-10;275;210
2020-06-11;242;204
2020-06-12;241;223
2020-06-13;251;226
2020-06-14;210;214
2020-06-15;238;221
2020-06-16;231;214
2020-06-17;255;223
2020-06-18;249;223
2020-06-19;210;218
2020-06-20;221;220
2020-06-21;205;218
2020-06-22;214;219
2020-06-23;203;206
2020-06-24;211;222
2020-06-25;240;227
2020-06-26;195;226
2020-06-27;220;219
2020-06-28;230;218
