Datum;Deaths 2020;Mean Deaths 2015-2019
2020-01-01;254;291
2020-01-02;300;290
2020-01-03;256;290
2020-01-04;272;278
2020-01-05;265;280
2020-01-06;285;271
2020-01-07;247;289
2020-01-08;291;283
2020-01-09;277;270
2020-01-10;253;277
2020-01-11;263;283
2020-01-12;274;284
2020-01-13;241;275
2020-01-14;267;271
2020-01-15;254;291
2020-01-16;254;284
2020-01-17;243;278
2020-01-18;302;273
2020-01-19;265;276
2020-01-20;230;280
2020-01-21;241;273
2020-01-22;265;278
2020-01-23;236;270
2020-01-24;251;273
2020-01-25;253;290
2020-01-26;253;269
2020-01-27;260;268
2020-01-28;276;265
2020-01-29;274;279
2020-01-30;269;267
2020-01-31;247;265
2020-02-01;276;276
2020-02-02;245;268
2020-02-03;241;281
2020-02-04;242;272
2020-02-05;241;266
2020-02-06;258;264
2020-02-07;242;276
2020-02-08;244;270
2020-02-09;258;274
2020-02-10;273;277
2020-02-11;255;272
2020-02-12;274;282
2020-02-13;246;277
2020-02-14;265;268
2020-02-15;257;268
2020-02-16;253;279
2020-02-17;268;277
2020-02-18;258;272
2020-02-19;264;289
2020-02-20;256;292
2020-02-21;226;291
2020-02-22;260;284
2020-02-23;242;289
2020-02-24;264;279
2020-02-25;262;288
2020-02-26;258;286
2020-02-27;255;271
2020-02-28;232;276
2020-02-29;244;243
2020-03-01;263;284
2020-03-02;238;277
2020-03-03;261;291
2020-03-04;289;289
2020-03-05;281;278
2020-03-06;250;289
2020-03-07;266;273
2020-03-08;240;265
2020-03-09;248;276
2020-03-10;257;271
2020-03-11;234;263
2020-03-12;257;268
2020-03-13;242;271
2020-03-14;246;265
2020-03-15;244;273
2020-03-16;293;268
2020-03-17;265;273
2020-03-18;256;258
2020-03-19;235;260
2020-03-20;279;267
2020-03-21;263;259
2020-03-22;270;259
2020-03-23;298;256
2020-03-24;281;254
2020-03-25;293;238
2020-03-26;303;265
2020-03-27;291;264
2020-03-28;268;259
2020-03-29;301;258
2020-03-30;338;266
2020-03-31;308;259
2020-04-01;328;259
2020-04-02;368;266
2020-04-03;361;261
2020-04-04;311;263
2020-04-05;363;251
2020-04-06;369;253
2020-04-07;343;270
2020-04-08;391;247
2020-04-09;364;242
2020-04-10;376;247
2020-04-11;365;237
2020-04-12;356;253
2020-04-13;351;257
2020-04-14;353;253
2020-04-15;398;243
2020-04-16;398;254
2020-04-17;353;262
2020-04-18;338;243
2020-04-19;326;241
2020-04-20;312;252
2020-04-21;330;253
2020-04-22;333;251
2020-04-23;324;246
2020-04-24;312;251
2020-04-25;331;249
2020-04-26;325;246
2020-04-27;299;240
2020-04-28;335;236
2020-04-29;320;239
2020-04-30;319;229
2020-05-01;360;240
2020-05-02;294;237
2020-05-03;305;237
2020-05-04;329;248
2020-05-05;308;230
2020-05-06;324;229
2020-05-07;327;232
2020-05-08;294;229
2020-05-09;284;234
2020-05-10;310;237
2020-05-11;318;234
2020-05-12;288;233
2020-05-13;284;234
2020-05-14;274;224
2020-05-15;273;228
2020-05-16;264;235
2020-05-17;276;222
2020-05-18;300;229
2020-05-19;258;221
2020-05-20;279;220
2020-05-21;244;214
2020-05-22;289;218
2020-05-23;266;217
2020-05-24;266;238
2020-05-25;239;216
2020-05-26;221;219
2020-05-27;241;216
2020-05-28;213;237
2020-05-29;221;222
2020-05-30;237;227
2020-05-31;248;218
2020-06-01;255;226
2020-06-02;258;213
2020-06-03;232;242
2020-06-04;212;223
2020-06-05;234;228
2020-06-06;205;205
