Datum;Deaths 2020;Mean Deaths 2015-2019
2020-01-01;254;291
2020-01-02;300;290
2020-01-03;256;290
2020-01-04;273;278
2020-01-05;265;280
2020-01-06;285;271
2020-01-07;246;289
2020-01-08;292;283
2020-01-09;277;270
2020-01-10;253;277
2020-01-11;263;283
2020-01-12;274;284
2020-01-13;241;275
2020-01-14;267;271
2020-01-15;254;291
2020-01-16;254;284
2020-01-17;244;278
2020-01-18;303;273
2020-01-19;265;276
2020-01-20;231;280
2020-01-21;241;273
2020-01-22;265;278
2020-01-23;236;270
2020-01-24;251;273
2020-01-25;253;290
2020-01-26;253;269
2020-01-27;260;268
2020-01-28;276;265
2020-01-29;274;279
2020-01-30;269;267
2020-01-31;247;265
2020-02-01;276;276
2020-02-02;245;268
2020-02-03;241;281
2020-02-04;242;272
2020-02-05;242;266
2020-02-06;258;264
2020-02-07;242;276
2020-02-08;244;270
2020-02-09;258;274
2020-02-10;273;277
2020-02-11;256;272
2020-02-12;273;282
2020-02-13;246;277
2020-02-14;266;268
2020-02-15;258;268
2020-02-16;253;279
2020-02-17;268;277
2020-02-18;259;272
2020-02-19;264;289
2020-02-20;256;292
2020-02-21;227;291
2020-02-22;260;284
2020-02-23;242;289
2020-02-24;264;279
2020-02-25;262;288
2020-02-26;258;286
2020-02-27;255;271
2020-02-28;232;276
2020-03-01;263;284
2020-03-02;238;277
2020-03-03;261;291
2020-03-04;289;289
2020-03-05;281;278
2020-03-06;251;289
2020-03-07;266;273
2020-03-08;240;265
2020-03-09;248;276
2020-03-10;257;271
2020-03-11;234;263
2020-03-12;258;268
2020-03-13;243;271
2020-03-14;246;265
2020-03-15;244;273
2020-03-16;293;268
2020-03-17;266;273
2020-03-18;257;258
2020-03-19;235;260
2020-03-20;279;267
2020-03-21;264;259
2020-03-22;270;259
2020-03-23;298;256
2020-03-24;281;254
2020-03-25;294;238
2020-03-26;304;265
2020-03-27;293;264
2020-03-28;268;259
2020-03-29;301;258
2020-03-30;338;266
2020-03-31;309;259
2020-04-01;328;259
2020-04-02;369;266
2020-04-03;364;261
2020-04-04;313;263
2020-04-05;361;251
2020-04-06;369;253
2020-04-07;344;270
2020-04-08;393;247
2020-04-09;364;242
2020-04-10;376;247
2020-04-11;366;237
2020-04-12;357;253
2020-04-13;354;257
2020-04-14;353;253
2020-04-15;398;243
2020-04-16;398;254
2020-04-17;358;262
2020-04-18;338;243
2020-04-19;326;241
2020-04-20;310;252
2020-04-21;332;253
2020-04-22;332;251
2020-04-23;325;246
2020-04-24;312;251
2020-04-25;331;249
2020-04-26;325;246
2020-04-27;300;240
2020-04-28;335;236
2020-04-29;322;239
2020-04-30;319;229
2020-05-01;360;240
2020-05-02;296;237
2020-05-03;306;237
2020-05-04;331;248
2020-05-05;309;230
2020-05-06;325;229
2020-05-07;328;232
2020-05-08;294;229
2020-05-09;284;234
2020-05-10;311;237
2020-05-11;319;234
2020-05-12;290;233
2020-05-13;284;234
2020-05-14;275;224
2020-05-15;275;228
2020-05-16;265;235
2020-05-17;278;222
2020-05-18;302;229
2020-05-19;259;221
2020-05-20;277;220
2020-05-21;249;214
2020-05-22;292;218
2020-05-23;270;217
2020-05-24;268;238
2020-05-25;242;216
2020-05-26;225;219
2020-05-27;245;216
2020-05-28;216;237
2020-05-29;229;222
2020-05-30;242;227
2020-05-31;256;218
2020-06-01;264;226
2020-06-02;269;213
2020-06-03;253;242
2020-06-04;227;223
2020-06-05;269;228
2020-06-06;233;205
2020-06-07;234;212
2020-06-08;231;224
2020-06-09;258;222
2020-06-10;278;210
2020-06-11;243;204
2020-06-12;244;223
2020-06-13;255;226
2020-06-14;212;214
2020-06-15;247;221
2020-06-16;236;214
2020-06-17;261;223
2020-06-18;255;223
2020-06-19;222;218
2020-06-20;234;220
2020-06-21;213;218
2020-06-22;227;219
2020-06-23;219;206
2020-06-24;226;222
2020-06-25;256;227
2020-06-26;223;226
2020-06-27;248;219
2020-06-28;270;218
2020-06-29;198;216
2020-06-30;228;222
2020-07-01;240;229
2020-07-02;237;230
2020-07-03;218;226
2020-07-04;230;229
2020-07-05;211;228
2020-07-06;227;229
2020-07-07;213;228
2020-07-08;218;220
2020-07-09;260;207
2020-07-10;234;215
2020-07-11;211;231
2020-07-12;206;233
2020-07-13;217;237
2020-07-14;193;226
2020-07-15;225;220
2020-07-16;201;221
2020-07-17;219;225
2020-07-18;245;229
2020-07-19;210;221
2020-07-20;224;225
2020-07-21;211;225
2020-07-22;196;214
2020-07-23;240;215
2020-07-24;242;220
2020-07-25;218;226
2020-07-26;202;222
2020-07-27;232;250
2020-07-28;212;225
2020-07-29;213;216
2020-07-30;213;220
2020-07-31;219;231
2020-08-01;213;237
2020-08-02;242;230
2020-08-03;215;216
2020-08-04;210;224
2020-08-05;213;223
2020-08-06;206;215
2020-08-07;267;222
2020-08-08;238;216
2020-08-09;216;225
2020-08-10;201;218
2020-08-11;232;209
2020-08-12;214;218
2020-08-13;265;212
2020-08-14;197;220
2020-08-15;210;216
2020-08-16;188;229
2020-08-17;219;213
2020-08-18;246;216
2020-08-19;211;222
2020-08-20;202;219
2020-08-21;243;227
2020-08-22;243;217
2020-08-23;200;219
2020-08-24;201;221
2020-08-25;228;223
2020-08-26;221;218
2020-08-27;207;215
2020-08-28;211;215
2020-08-29;204;220
2020-08-30;205;229
2020-08-31;176;227
2020-09-01;215;243
2020-09-02;210;237
2020-09-03;233;229
2020-09-04;209;221
2020-09-05;215;225
2020-09-06;214;219
